content_id,topic,content_type,length_sec,hook_type,posting_time,likes,shares,saves,comments,retention_rate,caption_style,followers_gained
C0107,Social Anxiety,Long Video,90,Text,19:00,958,74,123,25,80.87,Story,80
C0108,Relationships,Carousel,0,Visual,09:00,922,118,138,72,54.48,Statement,179
C0109,Friendship,Carousel,0,Text,21:00,838,63,162,63,72.27,Statement,168
C0110,Relationships,Image,0,Text,17:00,1827,168,385,49,62.95,Advice,292
C0111,Work Stress,Image,0,Visual,21:00,425,28,78,14,73.25,Story,44
C0112,Overthinking,Short Video,38,Visual,12:00,1351,165,230,24,75.43,Story,160
C0113,Relationships,Image,0,Text,09:00,2098,185,410,135,73.83,Story,392
C0114,Work Stress,Long Video,82,Text,09:00,758,84,105,57,78.22,Story,200
C0115,Work Stress,Short Video,16,Text,21:00,1277,243,141,24,87.97,Story,260
C0116,Relationships,Short Video,42,Text,19:00,865,152,89,57,71.25,Advice,137
C0117,Relationships,Image,0,Text,19:00,1498,224,253,57,85.09,Question,277
C0118,Dating,Carousel,0,Visual,12:00,1000,172,154,39,68.51,Story,179
C0119,Work Stress,Short Video,22,Text,20:00,1052,89,245,42,81.85,Story,256
C0120,Loneliness,Carousel,0,Text,20:00,3171,455,316,241,75.11,Advice,553
C0121,Work Stress,Short Video,34,Visual,12:00,1254,179,214,91,89.45,Story,204
C0122,Work Stress,Short Video,20,Visual,20:00,829,80,101,52,66.04,Question,145
C0123,Self Confidence,Short Video,28,Text,17:00,1569,158,344,34,91.24,Question,193
C0124,Friendship,Image,0,Text,09:00,1383,151,298,34,59.17,Story,296
C0125,Work Stress,Long Video,74,Visual,21:00,1680,258,289,52,58.83,Story,251
C0126,Work Stress,Long Video,67,Visual,17:00,2195,408,393,90,63.48,Statement,699
C0127,Relationships,Short Video,29,Text,21:00,1407,177,258,22,92.04,Advice,329
C0128,Work Stress,Carousel,0,Visual,19:00,560,75,111,41,78.29,Statement,93
C0129,Work Stress,Short Video,17,Visual,21:00,2933,333,601,222,93.69,Statement,625
C0130,Social Anxiety,Long Video,126,Text,17:00,2873,192,710,199,49.99,Story,772
C0131,Loneliness,Carousel,0,Text,19:00,1300,180,192,24,63.41,Statement,275
C0132,Overthinking,Short Video,42,Text,19:00,2402,121,328,98,81.66,Advice,393
C0133,Work Stress,Carousel,0,Visual,19:00,512,82,80,15,68.1,Question,72
C0134,Overthinking,Image,0,Text,20:00,645,49,106,27,86.59,Question,87
C0135,Relationships,Carousel,0,Text,20:00,3335,173,642,88,88.44,Advice,322
C0136,Relationships,Short Video,21,Visual,17:00,2241,251,211,178,80.57,Advice,433
C0137,Relationships,Short Video,15,Visual,21:00,1215,99,282,34,70.91,Story,131
C0138,Work Stress,Short Video,32,Visual,12:00,1028,124,180,19,89.04,Question,167
C0139,Relationships,Short Video,35,Visual,19:00,280,30,49,7,70.64,Statement,59
C0140,Work Stress,Carousel,0,Text,12:00,1898,364,272,61,75.76,Advice,382
C0141,Self Confidence,Carousel,0,Visual,09:00,2018,109,237,60,76.88,Statement,134
C0142,Loneliness,Image,0,Text,09:00,2537,166,547,67,76.11,Statement,307
C0143,Work Stress,Carousel,0,Text,20:00,912,144,205,62,65.89,Advice,263
C0144,Overthinking,Image,0,Text,19:00,1070,86,138,78,50.52,Statement,118
C0145,Friendship,Long Video,109,Visual,19:00,1377,155,319,93,58.67,Question,250
C0146,Overthinking,Carousel,0,Text,19:00,661,70,119,21,74.97,Story,105
C0147,Relationships,Short Video,19,Text,09:00,383,36,92,24,69.34,Advice,105
C0148,Dating,Carousel,0,Visual,19:00,3206,394,744,214,67.01,Story,460
C0149,Dating,Carousel,0,Text,20:00,1493,216,184,35,83.4,Advice,350
C0150,Dating,Image,0,Text,17:00,492,63,53,16,50.74,Advice,103
C0151,Social Anxiety,Short Video,22,Text,12:00,1526,139,265,87,90.72,Question,208
C0152,Loneliness,Short Video,39,Visual,19:00,736,38,76,54,92.09,Story,108
C0153,Work Stress,Short Video,16,Visual,17:00,2603,198,612,109,76.88,Statement,477
C0154,Overthinking,Carousel,0,Text,20:00,2298,131,248,144,53.31,Story,331
C0155,Self Confidence,Long Video,138,Text,20:00,861,80,120,53,56.88,Story,154
C0156,Relationships,Long Video,119,Text,19:00,556,67,107,42,74.3,Statement,95
C0157,Social Anxiety,Carousel,0,Visual,09:00,998,124,181,36,80.84,Advice,128
C0158,Overthinking,Image,0,Text,19:00,1407,86,286,66,77.54,Statement,215
C0159,Friendship,Carousel,0,Visual,12:00,1699,288,336,55,73.61,Advice,337
C0160,Overthinking,Image,0,Visual,21:00,965,61,227,23,88.01,Advice,145
C0161,Work Stress,Short Video,33,Visual,20:00,1148,207,234,77,85.42,Advice,346
C0162,Work Stress,Long Video,162,Text,12:00,499,88,61,23,53.85,Story,145
C0163,Work Stress,Long Video,72,Visual,17:00,1319,101,232,98,46.36,Advice,280
C0164,Social Anxiety,Image,0,Visual,17:00,1536,145,364,119,87.77,Statement,335
C0165,Loneliness,Long Video,76,Text,20:00,1280,125,282,22,68.85,Statement,170
C0166,Self Confidence,Image,0,Text,17:00,1226,83,114,73,63.59,Statement,191
C0167,Dating,Carousel,0,Visual,12:00,1137,148,243,40,75.04,Advice,304
C0168,Overthinking,Short Video,40,Visual,17:00,1033,147,123,17,91.97,Question,102
C0169,Relationships,Image,0,Text,20:00,1262,240,272,100,64.03,Advice,433
C0170,Overthinking,Short Video,36,Text,09:00,2364,260,381,131,92.08,Statement,609
C0171,Friendship,Short Video,35,Text,21:00,901,101,185,27,68.42,Statement,146
C0172,Loneliness,Short Video,19,Visual,17:00,2804,261,365,84,66.3,Advice,243
C0173,Dating,Short Video,22,Visual,19:00,1237,133,241,36,94.45,Advice,268
C0174,Overthinking,Carousel,0,Visual,19:00,1496,94,225,107,87.79,Question,235
C0175,Relationships,Carousel,0,Visual,21:00,650,129,77,49,75.99,Statement,174
C0176,Friendship,Carousel,0,Text,09:00,1420,180,169,37,58.82,Statement,167
C0177,Overthinking,Short Video,27,Visual,09:00,926,54,226,67,93.76,Advice,253
C0178,Dating,Long Video,141,Visual,09:00,2425,184,357,155,72.84,Statement,286
C0179,Friendship,Long Video,132,Visual,09:00,849,70,145,45,68.2,Story,96
C0180,Friendship,Long Video,159,Visual,20:00,1630,296,203,38,80.55,Question,435
C0181,Work Stress,Long Video,129,Text,12:00,1219,180,211,25,61.34,Question,206
C0182,Social Anxiety,Long Video,105,Visual,20:00,1647,146,334,77,48.24,Statement,230
C0183,Social Anxiety,Long Video,66,Visual,21:00,1031,183,169,47,68.7,Advice,293
C0184,Dating,Short Video,30,Text,20:00,1426,145,278,73,73.28,Question,353
C0185,Relationships,Long Video,138,Visual,21:00,1669,296,379,101,78.48,Statement,509
C0186,Relationships,Short Video,16,Text,19:00,2219,337,410,141,69.92,Question,668
C0187,Relationships,Carousel,0,Visual,17:00,1100,110,227,27,82.72,Story,239
C0188,Dating,Long Video,139,Text,19:00,1367,172,110,46,69.68,Statement,278
C0189,Relationships,Carousel,0,Visual,21:00,571,82,98,37,54.28,Story,152
C0190,Loneliness,Carousel,0,Text,17:00,1901,249,463,70,75.3,Advice,559
C0191,Loneliness,Carousel,0,Text,19:00,986,93,197,19,73.29,Statement,139
C0192,Work Stress,Image,0,Text,09:00,1159,165,101,83,88.94,Question,305
C0193,Dating,Short Video,28,Text,12:00,927,151,78,15,75.03,Question,147
C0194,Overthinking,Short Video,28,Text,21:00,1619,268,317,71,73.48,Question,518
C0195,Work Stress,Image,0,Visual,12:00,469,34,100,28,58.83,Advice,57
C0196,Friendship,Short Video,26,Text,09:00,343,52,65,11,94.48,Statement,51
C0197,Friendship,Carousel,0,Visual,20:00,1646,185,310,67,60.97,Statement,426
C0198,Social Anxiety,Long Video,149,Text,17:00,1298,144,301,38,53.52,Statement,157
C0199,Social Anxiety,Long Video,78,Text,09:00,688,123,110,53,52.42,Story,223
C0200,Social Anxiety,Short Video,38,Visual,19:00,3032,504,639,211,88.59,Advice,855
C0201,Relationships,Image,0,Text,21:00,1343,227,217,30,55.01,Statement,309
C0202,Dating,Short Video,19,Visual,21:00,1862,213,212,87,66.99,Question,323
C0203,Work Stress,Carousel,0,Text,20:00,1654,159,260,26,52.9,Advice,215
C0204,Loneliness,Image,0,Visual,17:00,880,107,160,29,77.8,Advice,208
C0205,Dating,Image,0,Text,20:00,740,63,183,17,69.96,Statement,143
C0206,Social Anxiety,Long Video,136,Visual,09:00,1335,207,233,20,58.06,Story,257
C0207,Work Stress,Long Video,77,Text,17:00,909,49,84,37,50.31,Statement,102
C0208,Dating,Short Video,30,Text,12:00,866,132,187,24,70.19,Story,127
C0209,Loneliness,Long Video,131,Text,09:00,2722,148,650,50,66.65,Advice,471
C0210,Social Anxiety,Carousel,0,Visual,17:00,2279,411,458,152,63.58,Advice,741
C0211,Loneliness,Carousel,0,Text,09:00,2602,306,492,128,79.26,Statement,341
C0212,Self Confidence,Carousel,0,Text,09:00,1344,79,163,34,84.87,Advice,114
C0213,Dating,Long Video,135,Text,20:00,1681,250,276,85,73.77,Question,276
C0214,Loneliness,Image,0,Visual,17:00,919,183,225,52,57.98,Story,297
C0215,Dating,Short Video,31,Visual,17:00,1094,197,222,69,78.19,Statement,247
C0216,Self Confidence,Long Video,78,Text,12:00,481,50,119,8,79.68,Story,94
C0217,Self Confidence,Short Video,20,Text,19:00,3045,374,695,223,78.07,Advice,589
C0218,Overthinking,Image,0,Visual,19:00,1022,141,240,29,74.92,Advice,240
C0219,Work Stress,Image,0,Text,20:00,738,116,173,19,59.5,Question,228
C0220,Work Stress,Carousel,0,Visual,17:00,1295,99,291,60,59.89,Statement,303
C0221,Dating,Short Video,34,Text,19:00,1927,200,348,49,77.12,Question,437
C0222,Relationships,Long Video,137,Text,20:00,251,22,48,9,75.94,Story,29
C0223,Social Anxiety,Carousel,0,Text,21:00,1335,114,123,34,70.79,Question,135
C0224,Self Confidence,Short Video,22,Text,19:00,1568,273,240,48,84.13,Story,379
C0225,Overthinking,Image,0,Text,19:00,1086,60,222,63,68.99,Statement,231
C0226,Social Anxiety,Image,0,Visual,20:00,1131,193,203,80,58.23,Advice,193
C0227,Work Stress,Image,0,Visual,17:00,1001,129,239,17,54.88,Question,191
C0228,Self Confidence,Image,0,Text,12:00,1181,224,157,56,51.66,Question,190
C0229,Work Stress,Carousel,0,Text,12:00,1724,203,289,80,76.67,Question,228
C0230,Loneliness,Image,0,Text,12:00,1525,83,201,92,58.07,Story,241
C0231,Overthinking,Carousel,0,Visual,12:00,933,168,102,55,83.52,Question,274
C0232,Work Stress,Short Video,31,Visual,21:00,2985,455,491,164,91.94,Statement,682
C0233,Self Confidence,Carousel,0,Visual,21:00,2215,182,425,89,76.05,Story,252
C0234,Relationships,Short Video,28,Visual,19:00,2317,344,579,42,95.29,Statement,468
C0235,Relationships,Long Video,90,Text,19:00,1439,194,295,103,61.17,Story,289
C0236,Overthinking,Carousel,0,Text,19:00,1659,249,360,107,81.91,Advice,383
C0237,Self Confidence,Long Video,137,Visual,17:00,1110,146,89,40,59.66,Question,155
C0238,Relationships,Image,0,Visual,21:00,1292,199,188,57,59.5,Question,233
C0239,Work Stress,Short Video,39,Text,19:00,2570,367,408,101,91.76,Story,508
C0240,Loneliness,Short Video,45,Visual,19:00,2197,267,185,81,76.79,Statement,299
C0241,Social Anxiety,Carousel,0,Text,12:00,2405,339,505,163,78.72,Advice,777
C0242,Dating,Image,0,Text,09:00,4825,254,546,74,75.9,Statement,600
C0243,Self Confidence,Long Video,96,Text,21:00,1277,75,305,48,49.06,Story,210
C0244,Relationships,Carousel,0,Visual,09:00,1165,103,149,40,82.12,Statement,168
C0245,Friendship,Long Video,180,Text,09:00,1908,300,241,79,49.88,Statement,275
C0246,Friendship,Image,0,Visual,19:00,485,73,53,23,78.36,Advice,62
C0247,Dating,Short Video,41,Text,20:00,525,102,85,35,82.06,Question,84
C0248,Friendship,Long Video,114,Visual,20:00,1467,212,354,79,77.77,Statement,461
C0249,Friendship,Carousel,0,Visual,20:00,782,110,117,54,86.0,Statement,147
C0250,Dating,Short Video,27,Text,09:00,875,74,186,28,90.5,Advice,139
C0251,Overthinking,Image,0,Text,09:00,908,130,142,48,56.72,Statement,221
C0252,Friendship,Short Video,39,Text,12:00,1342,240,156,28,65.73,Question,281
C0253,Overthinking,Image,0,Visual,21:00,2236,189,327,119,69.87,Advice,498
C0254,Relationships,Long Video,77,Visual,21:00,4068,286,806,167,62.13,Advice,770
C0255,Social Anxiety,Image,0,Visual,09:00,1874,170,175,38,85.77,Statement,165
C0256,Work Stress,Carousel,0,Text,17:00,2551,251,302,97,52.78,Question,379
C0257,Friendship,Image,0,Visual,21:00,1309,238,249,64,62.97,Statement,274
C0258,Work Stress,Short Video,40,Text,19:00,442,66,110,25,82.29,Advice,130
C0259,Loneliness,Image,0,Text,17:00,855,114,207,22,77.6,Statement,137
C0260,Dating,Carousel,0,Visual,20:00,1223,159,117,54,80.25,Statement,176
C0261,Overthinking,Short Video,17,Text,17:00,2398,453,287,98,69.72,Advice,711
C0262,Loneliness,Long Video,116,Text,19:00,1763,333,302,122,65.84,Question,496
C0263,Overthinking,Carousel,0,Visual,09:00,1462,101,322,96,78.35,Advice,173
C0264,Overthinking,Long Video,63,Visual,20:00,1110,105,138,42,48.51,Advice,219
C0265,Social Anxiety,Long Video,90,Text,17:00,499,54,77,26,65.63,Advice,119
C0266,Social Anxiety,Long Video,117,Text,17:00,1812,225,450,127,53.34,Advice,590
C0267,Dating,Long Video,106,Text,17:00,1319,141,302,94,77.24,Statement,363
C0268,Friendship,Short Video,15,Visual,19:00,1090,104,102,44,70.38,Advice,172
C0269,Dating,Image,0,Text,12:00,1280,187,281,30,84.48,Statement,357
C0270,Relationships,Long Video,77,Visual,19:00,1200,147,219,77,51.99,Story,252
C0271,Relationships,Short Video,40,Text,21:00,671,70,61,11,69.19,Statement,112
C0272,Dating,Image,0,Visual,21:00,1066,141,260,45,62.47,Story,239
C0273,Overthinking,Long Video,85,Visual,12:00,785,114,91,43,71.01,Advice,108
C0274,Social Anxiety,Image,0,Text,19:00,1266,74,269,56,52.33,Story,285
C0275,Dating,Short Video,24,Text,20:00,1368,270,165,33,68.76,Advice,237
C0276,Loneliness,Short Video,19,Visual,19:00,1047,68,206,19,80.79,Advice,202
C0277,Overthinking,Long Video,166,Visual,12:00,1673,160,311,82,62.04,Advice,212
C0278,Social Anxiety,Short Video,31,Text,12:00,2638,482,412,72,76.4,Story,521
C0279,Overthinking,Long Video,180,Text,09:00,1772,293,145,74,64.25,Statement,198
C0280,Friendship,Image,0,Text,20:00,1748,155,365,41,71.41,Question,221
C0281,Self Confidence,Long Video,144,Text,20:00,1196,79,207,53,78.77,Question,122
C0282,Social Anxiety,Short Video,16,Text,21:00,1885,232,198,68,87.86,Story,290
C0283,Loneliness,Short Video,30,Text,21:00,593,70,126,43,94.62,Statement,164
C0284,Relationships,Long Video,163,Text,17:00,496,48,97,21,55.19,Advice,113
C0285,Dating,Short Video,20,Text,19:00,4131,615,959,232,84.03,Advice,653
C0286,Friendship,Image,0,Text,21:00,825,105,87,51,70.49,Statement,170
C0287,Overthinking,Carousel,0,Text,20:00,1076,65,88,83,79.5,Question,129
C0288,Overthinking,Long Video,75,Text,19:00,1456,137,203,95,71.45,Story,189
C0289,Self Confidence,Short Video,16,Text,20:00,2315,207,193,47,95.0,Advice,217
C0290,Friendship,Long Video,101,Text,12:00,1709,282,318,68,53.23,Story,264
C0291,Relationships,Carousel,0,Text,19:00,2504,367,426,44,88.74,Question,573
C0292,Dating,Carousel,0,Visual,12:00,1712,160,422,92,73.3,Statement,424
C0293,Social Anxiety,Short Video,24,Text,17:00,1843,127,253,138,71.96,Question,269
C0294,Dating,Carousel,0,Text,21:00,2274,261,351,124,87.72,Statement,334
C0295,Loneliness,Image,0,Visual,20:00,1116,204,211,37,82.64,Story,331
C0296,Overthinking,Image,0,Text,20:00,1130,199,266,35,80.2,Statement,265
C0297,Dating,Long Video,110,Text,17:00,1652,275,316,43,66.8,Statement,490
C0298,Self Confidence,Long Video,125,Text,20:00,1807,344,157,46,50.27,Question,401
C0299,Social Anxiety,Short Video,19,Text,19:00,1024,128,228,64,81.81,Advice,248
C0300,Self Confidence,Long Video,179,Text,12:00,1665,210,217,86,72.56,Advice,392
C0301,Work Stress,Image,0,Text,21:00,2117,156,335,33,59.87,Statement,318
C0302,Relationships,Short Video,26,Visual,19:00,1746,347,169,71,89.8,Statement,280
C0303,Social Anxiety,Carousel,0,Visual,21:00,3434,488,384,130,81.35,Question,625
C0304,Relationships,Long Video,140,Text,12:00,1498,76,313,25,74.83,Story,151
C0305,Social Anxiety,Short Video,21,Text,17:00,1282,126,135,44,92.18,Advice,247
C0306,Self Confidence,Carousel,0,Text,20:00,1519,159,237,94,85.45,Advice,302
C0307,Social Anxiety,Long Video,86,Text,21:00,628,96,50,34,59.22,Advice,141
C0308,Loneliness,Image,0,Text,20:00,478,30,86,22,75.69,Statement,47
C0309,Overthinking,Image,0,Visual,12:00,3073,412,561,181,82.2,Statement,536
C0310,Work Stress,Long Video,98,Text,21:00,3140,545,517,62,47.34,Story,553
C0311,Relationships,Image,0,Text,17:00,1769,297,297,77,55.9,Question,334
C0312,Loneliness,Carousel,0,Visual,17:00,2132,245,202,62,73.93,Question,358
C0313,Work Stress,Short Video,26,Text,21:00,593,86,126,13,77.71,Statement,153
C0314,Relationships,Long Video,165,Text,20:00,3344,359,592,177,52.38,Statement,560
C0315,Self Confidence,Short Video,34,Visual,12:00,1303,123,312,41,78.32,Question,316
C0316,Friendship,Long Video,72,Text,17:00,435,76,48,29,63.33,Advice,94
C0317,Dating,Long Video,130,Visual,19:00,1242,143,253,80,51.36,Advice,288
C0318,Relationships,Long Video,96,Text,17:00,3197,224,664,184,83.26,Question,373
C0319,Dating,Long Video,154,Visual,12:00,1193,106,145,88,54.98,Advice,165
C0320,Self Confidence,Short Video,41,Text,12:00,1078,176,168,70,67.03,Statement,243
C0321,Social Anxiety,Short Video,24,Visual,17:00,361,36,84,5,85.58,Statement,86
C0322,Relationships,Carousel,0,Visual,20:00,1961,262,469,36,66.75,Advice,323
C0323,Work Stress,Long Video,74,Text,12:00,1612,128,283,72,83.88,Advice,283
C0324,Work Stress,Long Video,154,Text,17:00,522,53,51,12,54.01,Story,53
C0325,Self Confidence,Carousel,0,Text,09:00,1346,172,133,95,78.91,Advice,163
C0326,Dating,Long Video,121,Text,12:00,2372,370,408,48,63.33,Question,454
C0327,Work Stress,Carousel,0,Text,17:00,1324,158,198,75,71.82,Statement,162
C0328,Social Anxiety,Image,0,Visual,09:00,2253,285,489,101,52.08,Question,584
C0329,Relationships,Image,0,Text,21:00,845,63,115,54,70.78,Question,101
C0330,Work Stress,Image,0,Visual,12:00,671,121,154,48,59.55,Advice,177
