comment_id,content_id,comment
CM00190,C0052,I thought I was the only one who felt this way.
CM00191,C0052,I needed to hear this today.
CM00192,C0052,Well explained.
CM00193,C0053,Good video.
CM00194,C0053,Very useful advice.
CM00195,C0053,I needed to hear this today.
CM00196,C0054,Good video.
CM00197,C0054,Finally someone talked about this.
CM00198,C0054,I thought I was the only one who felt this way.
CM00199,C0054,Finally someone talked about this.
CM00200,C0054,Interesting perspective.
CM00201,C0055,Very useful advice.
CM00202,C0055,This was informative.
CM00203,C0056,I can completely relate to this.
CM00204,C0056,This describes exactly what I have been feeling.
CM00205,C0056,Finally someone talked about this.
CM00206,C0056,Thanks for the tips.
CM00207,C0057,I can completely relate to this.
CM00208,C0057,Thanks for the tips.
CM00209,C0057,I can completely relate to this.
CM00210,C0058,Good information.
CM00211,C0058,This describes exactly what I have been feeling.
CM00212,C0058,Thanks for sharing.
CM00213,C0058,Thanks for sharing.
CM00214,C0059,Interesting post.
CM00215,C0059,You explained my situation perfectly.
CM00216,C0059,This was informative.
CM00217,C0059,Thanks for the tips.
CM00218,C0059,This is literally me.
CM00219,C0060,Good information.
CM00220,C0060,Well explained.
CM00221,C0060,This is literally me.
CM00222,C0061,This feels so real.
CM00223,C0061,I thought I was the only one who felt this way.
CM00224,C0061,Finally someone talked about this.
CM00225,C0062,This is literally me.
CM00226,C0062,I needed to hear this today.
CM00227,C0062,Well explained.
CM00228,C0062,Good video.
CM00229,C0063,Thanks for sharing.
CM00230,C0063,I have been through the same thing.
CM00231,C0063,This describes exactly what I have been feeling.
CM00232,C0063,You explained my situation perfectly.
CM00233,C0063,This describes exactly what I have been feeling.
CM00234,C0064,This is literally me.
CM00235,C0064,Thanks for sharing.
CM00236,C0064,This is literally me.
CM00237,C0065,Nice explanation.
CM00238,C0065,Interesting perspective.
CM00239,C0065,This is literally me.
CM00240,C0065,Good information.
CM00241,C0065,I thought I was the only one who felt this way.
CM00242,C0066,I thought I was the only one who felt this way.
CM00243,C0066,Thanks for the tips.
CM00244,C0066,Very useful advice.
CM00245,C0066,Good information.
CM00246,C0066,I thought I was the only one who felt this way.
CM00247,C0067,Thanks for sharing.
CM00248,C0067,I thought I was the only one who felt this way.
CM00249,C0067,Finally someone talked about this.
CM00250,C0067,I thought I was the only one who felt this way.
CM00251,C0068,Interesting perspective.
CM00252,C0068,I needed to hear this today.
CM00253,C0069,You explained my situation perfectly.
CM00254,C0069,This is literally me.
CM00255,C0069,Very useful advice.
CM00256,C0070,This is literally me.
CM00257,C0070,I thought I was the only one who felt this way.
CM00258,C0070,Interesting perspective.
CM00259,C0070,Thanks for sharing.
CM00260,C0070,Well explained.
CM00261,C0071,Interesting post.
CM00262,C0071,Very useful advice.
CM00263,C0072,Nice explanation.
CM00264,C0072,This is literally me.
CM00265,C0072,I can completely relate to this.
CM00266,C0072,Nice explanation.
CM00267,C0072,This feels so real.
CM00268,C0073,Interesting post.
CM00269,C0073,Good information.
CM00270,C0073,I can completely relate to this.
CM00271,C0073,Thanks for sharing.
CM00272,C0073,I have been through the same thing.
CM00273,C0074,Interesting post.
CM00274,C0074,This feels so real.
CM00275,C0074,You explained my situation perfectly.
CM00276,C0074,I have been through the same thing.
CM00277,C0075,Thanks for the tips.
CM00278,C0075,Thanks for sharing.
CM00279,C0075,This is literally me.
CM00280,C0075,Thanks for sharing.
CM00281,C0076,Finally someone talked about this.
CM00282,C0076,Finally someone talked about this.
CM00283,C0077,You explained my situation perfectly.
CM00284,C0077,Interesting perspective.
CM00285,C0077,I can completely relate to this.
CM00286,C0077,Thanks for the tips.
CM00287,C0077,You explained my situation perfectly.
CM00288,C0078,I needed to hear this today.
CM00289,C0078,Good information.
CM00290,C0078,Well explained.
CM00291,C0078,Interesting perspective.
CM00292,C0078,Very useful advice.
CM00293,C0079,Interesting perspective.
CM00294,C0079,This describes exactly what I have been feeling.
CM00295,C0079,This was informative.
CM00296,C0079,This hit me hard.
CM00297,C0080,I can completely relate to this.
CM00298,C0080,Thanks for the tips.
CM00299,C0081,Interesting post.
CM00300,C0081,Good video.
CM00301,C0081,I needed to hear this today.
CM00302,C0081,This describes exactly what I have been feeling.
CM00303,C0081,This was informative.
CM00304,C0082,Interesting post.
CM00305,C0082,Finally someone talked about this.
CM00306,C0082,I have been through the same thing.
CM00307,C0082,I thought I was the only one who felt this way.
CM00308,C0082,Good information.
CM00309,C0083,This is literally me.
CM00310,C0083,Good information.
CM00311,C0084,Interesting perspective.
CM00312,C0084,Well explained.
CM00313,C0085,Thanks for the tips.
CM00314,C0085,Good video.
CM00315,C0085,Very useful advice.
CM00316,C0086,Finally someone talked about this.
CM00317,C0086,Good video.
CM00318,C0086,Interesting post.
CM00319,C0086,This describes exactly what I have been feeling.
CM00320,C0086,This feels so real.
CM00321,C0087,Good video.
CM00322,C0087,Good information.
CM00323,C0087,Thanks for the tips.
CM00324,C0087,You explained my situation perfectly.
CM00325,C0088,This describes exactly what I have been feeling.
CM00326,C0088,You explained my situation perfectly.
CM00327,C0089,This describes exactly what I have been feeling.
CM00328,C0089,Interesting post.
CM00329,C0089,Good information.
CM00330,C0090,Thanks for the tips.
CM00331,C0090,Finally someone talked about this.
CM00332,C0091,Good information.
CM00333,C0091,Good information.
CM00334,C0091,This was informative.
CM00335,C0092,Thanks for sharing.
CM00336,C0092,Thanks for sharing.
CM00337,C0092,Thanks for sharing.
CM00338,C0092,Finally someone talked about this.
CM00339,C0092,Good video.
CM00340,C0093,Finally someone talked about this.
CM00341,C0093,Very useful advice.
CM00342,C0093,This feels so real.
CM00343,C0093,Thanks for the tips.
CM00344,C0093,Thanks for sharing.
CM00345,C0094,Well explained.
CM00346,C0094,This hit me hard.
CM00347,C0094,Well explained.
CM00348,C0094,Very useful advice.
CM00349,C0094,I needed to hear this today.
CM00350,C0095,Thanks for sharing.
CM00351,C0095,Thanks for sharing.
CM00352,C0095,Good video.
CM00353,C0095,Good video.
CM00354,C0096,This was informative.
CM00355,C0096,Well explained.
CM00356,C0096,You explained my situation perfectly.
CM00357,C0096,Well explained.
CM00358,C0096,You explained my situation perfectly.
CM00359,C0097,This is literally me.
CM00360,C0097,I can completely relate to this.
CM00361,C0097,Nice explanation.
CM00362,C0098,Nice explanation.
CM00363,C0098,This hit me hard.
CM00364,C0098,I have been through the same thing.
CM00365,C0099,Well explained.
CM00366,C0099,Well explained.
CM00367,C0100,I needed to hear this today.
CM00368,C0100,Good information.
CM00369,C0100,This was informative.
CM00370,C0100,This feels so real.
CM00371,C0100,Good information.
CM00372,C0101,Very useful advice.
CM00373,C0101,Thanks for the tips.
CM00374,C0102,Good video.
CM00375,C0102,Well explained.
CM00376,C0102,Very useful advice.
CM00377,C0103,I can completely relate to this.
CM00378,C0103,Interesting post.
CM00379,C0103,I can completely relate to this.
CM00380,C0104,You explained my situation perfectly.
CM00381,C0104,I needed to hear this today.
CM00382,C0105,I needed to hear this today.
CM00383,C0105,I have been through the same thing.
CM00384,C0105,Thanks for sharing.
CM00385,C0106,This feels so real.
CM00386,C0106,Interesting perspective.
CM00387,C0107,Interesting perspective.
CM00388,C0107,Interesting post.
CM00389,C0107,Good video.
CM00390,C0107,Thanks for sharing.
CM00391,C0108,Thanks for sharing.
CM00392,C0108,This hit me hard.
CM00393,C0109,This describes exactly what I have been feeling.
CM00394,C0109,Good video.
CM00395,C0109,I needed to hear this today.
CM00396,C0109,Finally someone talked about this.
CM00397,C0109,Well explained.
CM00398,C0110,This feels so real.
CM00399,C0110,Interesting perspective.
CM00400,C0111,Good video.
CM00401,C0111,I thought I was the only one who felt this way.
CM00402,C0111,This hit me hard.
CM00403,C0112,This hit me hard.
CM00404,C0112,Good video.
CM00405,C0112,Well explained.
CM00406,C0112,This is literally me.
CM00407,C0113,Very useful advice.
CM00408,C0113,I thought I was the only one who felt this way.
CM00409,C0113,Thanks for sharing.
CM00410,C0113,Well explained.
CM00411,C0114,Very useful advice.
CM00412,C0114,Very useful advice.
CM00413,C0115,Very useful advice.
CM00414,C0115,You explained my situation perfectly.
CM00415,C0115,Interesting post.
CM00416,C0115,Thanks for sharing.
CM00417,C0115,This feels so real.
CM00418,C0116,This is literally me.
CM00419,C0116,I needed to hear this today.
CM00420,C0117,Very useful advice.
CM00421,C0117,This was informative.
CM00422,C0118,You explained my situation perfectly.
CM00423,C0118,This is literally me.
CM00424,C0118,I thought I was the only one who felt this way.
CM00425,C0118,Interesting perspective.
CM00426,C0118,Finally someone talked about this.
CM00427,C0119,Interesting post.
CM00428,C0119,This hit me hard.
CM00429,C0120,I needed to hear this today.
CM00430,C0120,Nice explanation.
CM00431,C0121,This is literally me.
CM00432,C0121,This hit me hard.
CM00433,C0121,You explained my situation perfectly.
CM00434,C0121,Well explained.
CM00435,C0121,I can completely relate to this.
CM00436,C0122,Good video.
CM00437,C0122,Good information.
CM00438,C0122,Well explained.
CM00439,C0122,This is literally me.
CM00440,C0123,This was informative.
CM00441,C0123,Interesting post.
CM00442,C0124,This feels so real.
CM00443,C0124,This hit me hard.
CM00444,C0124,I can completely relate to this.
CM00445,C0124,I needed to hear this today.
CM00446,C0125,Finally someone talked about this.
CM00447,C0125,Well explained.
CM00448,C0125,This hit me hard.
CM00449,C0126,I thought I was the only one who felt this way.
CM00450,C0126,This describes exactly what I have been feeling.
CM00451,C0127,Good video.
CM00452,C0127,This describes exactly what I have been feeling.
CM00453,C0127,Finally someone talked about this.
CM00454,C0127,This describes exactly what I have been feeling.
CM00455,C0127,I have been through the same thing.
CM00456,C0128,Nice explanation.
CM00457,C0128,Thanks for sharing.
CM00458,C0128,Good video.
CM00459,C0128,This was informative.
CM00460,C0129,This describes exactly what I have been feeling.
CM00461,C0129,This was informative.
CM00462,C0129,This feels so real.
CM00463,C0130,Good video.
CM00464,C0130,Thanks for the tips.
CM00465,C0130,Nice explanation.
CM00466,C0131,Thanks for sharing.
CM00467,C0131,Interesting post.
CM00468,C0131,Thanks for sharing.
CM00469,C0131,Very useful advice.
CM00470,C0131,I thought I was the only one who felt this way.
CM00471,C0132,Well explained.
CM00472,C0132,Interesting perspective.
CM00473,C0133,Very useful advice.
CM00474,C0133,Well explained.
CM00475,C0133,This hit me hard.
CM00476,C0133,I can completely relate to this.
CM00477,C0133,This describes exactly what I have been feeling.
CM00478,C0134,This hit me hard.
CM00479,C0134,This was informative.
CM00480,C0134,This is literally me.
CM00481,C0134,Interesting perspective.
CM00482,C0135,Thanks for sharing.
CM00483,C0135,Thanks for sharing.
CM00484,C0135,Interesting perspective.
CM00485,C0136,Thanks for the tips.
CM00486,C0136,Good information.
CM00487,C0136,I have been through the same thing.
CM00488,C0137,This feels so real.
CM00489,C0137,This describes exactly what I have been feeling.
CM00490,C0137,Good video.
CM00491,C0138,I have been through the same thing.
CM00492,C0138,Good information.
CM00493,C0138,Good video.
CM00494,C0138,This hit me hard.
CM00495,C0138,Nice explanation.
CM00496,C0139,Interesting perspective.
CM00497,C0139,You explained my situation perfectly.
CM00498,C0139,I thought I was the only one who felt this way.
CM00499,C0139,This was informative.
CM00500,C0140,This feels so real.
CM00501,C0140,Good video.
CM00502,C0140,I have been through the same thing.
CM00503,C0141,Thanks for sharing.
CM00504,C0141,Very useful advice.
CM00505,C0142,Nice explanation.
CM00506,C0142,I can completely relate to this.
CM00507,C0143,I thought I was the only one who felt this way.
CM00508,C0143,This was informative.
CM00509,C0143,Interesting post.
CM00510,C0144,Thanks for the tips.
CM00511,C0144,I can completely relate to this.
CM00512,C0144,This was informative.
CM00513,C0144,This is literally me.
CM00514,C0144,Finally someone talked about this.
CM00515,C0145,This hit me hard.
CM00516,C0145,Finally someone talked about this.
CM00517,C0145,I can completely relate to this.
CM00518,C0146,Well explained.
CM00519,C0146,Interesting perspective.
CM00520,C0146,Good information.
CM00521,C0146,Nice explanation.
CM00522,C0147,Finally someone talked about this.
CM00523,C0147,Thanks for the tips.
CM00524,C0148,You explained my situation perfectly.
CM00525,C0148,Interesting perspective.
CM00526,C0148,Thanks for sharing.
CM00527,C0149,This feels so real.
CM00528,C0149,Interesting perspective.
CM00529,C0149,Very useful advice.
CM00530,C0149,I can completely relate to this.
CM00531,C0150,This hit me hard.
CM00532,C0150,Well explained.
CM00533,C0151,Interesting perspective.
CM00534,C0151,I have been through the same thing.
CM00535,C0151,Interesting perspective.
CM00536,C0151,This hit me hard.
CM00537,C0151,Interesting post.
CM00538,C0152,Thanks for sharing.
CM00539,C0152,Well explained.
CM00540,C0153,This was informative.
CM00541,C0153,Good video.
CM00542,C0154,This was informative.
CM00543,C0154,I have been through the same thing.
CM00544,C0155,Finally someone talked about this.
CM00545,C0155,I can completely relate to this.
CM00546,C0155,This describes exactly what I have been feeling.
CM00547,C0155,Interesting post.
CM00548,C0155,This hit me hard.
CM00549,C0156,This is literally me.
CM00550,C0156,Good information.
CM00551,C0156,Interesting post.
CM00552,C0156,This was informative.
CM00553,C0156,Good video.
CM00554,C0157,I can completely relate to this.
CM00555,C0157,Finally someone talked about this.
CM00556,C0157,This hit me hard.
CM00557,C0157,This feels so real.
CM00558,C0157,This was informative.
CM00559,C0158,Well explained.
CM00560,C0158,Good video.
CM00561,C0158,Thanks for the tips.
CM00562,C0159,Interesting perspective.
CM00563,C0159,You explained my situation perfectly.
CM00564,C0159,Interesting post.
CM00565,C0159,Thanks for the tips.
CM00566,C0160,This hit me hard.
CM00567,C0160,This feels so real.
CM00568,C0160,Interesting perspective.
CM00569,C0161,This is literally me.
CM00570,C0161,Thanks for sharing.
CM00571,C0162,This was informative.
CM00572,C0162,I needed to hear this today.
CM00573,C0162,I thought I was the only one who felt this way.
CM00574,C0162,This was informative.
CM00575,C0162,This was informative.
CM00576,C0163,Interesting perspective.
CM00577,C0163,I can completely relate to this.
CM00578,C0163,Thanks for the tips.
CM00579,C0163,This hit me hard.
CM00580,C0164,Finally someone talked about this.
CM00581,C0164,Very useful advice.
CM00582,C0164,Good information.
CM00583,C0164,This is literally me.
CM00584,C0165,I needed to hear this today.
CM00585,C0165,Good video.
CM00586,C0165,This was informative.
CM00587,C0166,Interesting post.
CM00588,C0166,Well explained.
CM00589,C0166,This hit me hard.
CM00590,C0167,I needed to hear this today.
CM00591,C0167,This describes exactly what I have been feeling.
CM00592,C0167,You explained my situation perfectly.
CM00593,C0167,Nice explanation.
CM00594,C0168,I thought I was the only one who felt this way.
CM00595,C0168,Well explained.
CM00596,C0168,I thought I was the only one who felt this way.
CM00597,C0169,Interesting perspective.
CM00598,C0169,I have been through the same thing.
CM00599,C0169,Interesting perspective.
CM00600,C0169,This describes exactly what I have been feeling.
CM00601,C0170,Thanks for the tips.
CM00602,C0170,Interesting perspective.
CM00603,C0170,Thanks for the tips.
CM00604,C0170,I thought I was the only one who felt this way.
CM00605,C0171,Very useful advice.
CM00606,C0171,Very useful advice.
CM00607,C0171,This was informative.
CM00608,C0171,Well explained.
CM00609,C0171,Nice explanation.
CM00610,C0172,You explained my situation perfectly.
CM00611,C0172,Good video.
CM00612,C0172,I can completely relate to this.
CM00613,C0173,This describes exactly what I have been feeling.
CM00614,C0173,Nice explanation.
CM00615,C0173,This describes exactly what I have been feeling.
CM00616,C0173,Very useful advice.
CM00617,C0173,This describes exactly what I have been feeling.
CM00618,C0174,This describes exactly what I have been feeling.
CM00619,C0174,Interesting perspective.
CM00620,C0174,I thought I was the only one who felt this way.
CM00621,C0174,I thought I was the only one who felt this way.
CM00622,C0175,Well explained.
CM00623,C0175,Thanks for the tips.
CM00624,C0175,This feels so real.
CM00625,C0175,Finally someone talked about this.
CM00626,C0175,Thanks for the tips.
CM00627,C0176,Well explained.
CM00628,C0176,This describes exactly what I have been feeling.
CM00629,C0176,Thanks for sharing.
CM00630,C0177,This was informative.
CM00631,C0177,Well explained.
CM00632,C0178,This was informative.
CM00633,C0178,Thanks for sharing.
CM00634,C0179,Well explained.
CM00635,C0179,Good information.
CM00636,C0179,This describes exactly what I have been feeling.
CM00637,C0179,I thought I was the only one who felt this way.
CM00638,C0179,Finally someone talked about this.
CM00639,C0180,I needed to hear this today.
CM00640,C0180,I have been through the same thing.
CM00641,C0180,Good video.
CM00642,C0180,I have been through the same thing.
CM00643,C0181,This feels so real.
CM00644,C0181,You explained my situation perfectly.
CM00645,C0181,I can completely relate to this.
CM00646,C0181,Interesting perspective.
CM00647,C0181,Interesting post.
CM00648,C0182,Well explained.
CM00649,C0182,You explained my situation perfectly.
CM00650,C0182,I can completely relate to this.
CM00651,C0182,Good information.
CM00652,C0183,I can completely relate to this.
CM00653,C0183,Well explained.
CM00654,C0183,Good video.
CM00655,C0184,This hit me hard.
CM00656,C0184,Good information.
CM00657,C0184,I can completely relate to this.
CM00658,C0184,I needed to hear this today.
CM00659,C0184,Interesting post.
CM00660,C0185,Nice explanation.
CM00661,C0185,This hit me hard.
CM00662,C0185,Nice explanation.
CM00663,C0185,You explained my situation perfectly.
CM00664,C0185,Finally someone talked about this.
CM00665,C0186,Well explained.
CM00666,C0186,I needed to hear this today.
CM00667,C0186,This hit me hard.
CM00668,C0187,Thanks for the tips.
CM00669,C0187,This was informative.
CM00670,C0187,Thanks for the tips.
CM00671,C0187,Thanks for sharing.
CM00672,C0187,Good video.
CM00673,C0188,Interesting perspective.
CM00674,C0188,I thought I was the only one who felt this way.
CM00675,C0188,This feels so real.
CM00676,C0188,This feels so real.
CM00677,C0188,Nice explanation.
CM00678,C0189,I have been through the same thing.
CM00679,C0189,Good video.
CM00680,C0189,Well explained.
CM00681,C0189,This was informative.
CM00682,C0189,This is literally me.
CM00683,C0190,Nice explanation.
CM00684,C0190,Interesting post.
CM00685,C0190,You explained my situation perfectly.
CM00686,C0191,I have been through the same thing.
CM00687,C0191,Good information.
CM00688,C0192,Interesting post.
CM00689,C0192,Finally someone talked about this.
CM00690,C0192,You explained my situation perfectly.
CM00691,C0192,This describes exactly what I have been feeling.
CM00692,C0192,Thanks for the tips.
CM00693,C0193,I can completely relate to this.
CM00694,C0193,This feels so real.
CM00695,C0193,Good video.
CM00696,C0194,This hit me hard.
CM00697,C0194,Well explained.
CM00698,C0194,This hit me hard.
CM00699,C0194,Finally someone talked about this.
CM00700,C0194,Finally someone talked about this.
CM00701,C0195,Well explained.
CM00702,C0195,This feels so real.
CM00703,C0195,Very useful advice.
CM00704,C0195,Thanks for the tips.
CM00705,C0195,You explained my situation perfectly.
CM00706,C0196,This is literally me.
CM00707,C0196,I can completely relate to this.
CM00708,C0196,I have been through the same thing.
CM00709,C0196,Thanks for the tips.
CM00710,C0197,You explained my situation perfectly.
CM00711,C0197,Interesting perspective.
CM00712,C0197,This is literally me.
CM00713,C0197,Very useful advice.
CM00714,C0197,This hit me hard.
CM00715,C0198,I can completely relate to this.
CM00716,C0198,This was informative.
CM00717,C0198,Very useful advice.
CM00718,C0198,You explained my situation perfectly.
CM00719,C0198,Well explained.
CM00720,C0199,This hit me hard.
CM00721,C0199,This was informative.
CM00722,C0199,I thought I was the only one who felt this way.
CM00723,C0199,I needed to hear this today.
CM00724,C0200,Interesting perspective.
CM00725,C0200,Finally someone talked about this.
CM00726,C0201,This is literally me.
CM00727,C0201,This hit me hard.
CM00728,C0201,I thought I was the only one who felt this way.
CM00729,C0201,I can completely relate to this.
CM00730,C0201,Good information.
CM00731,C0202,This is literally me.
CM00732,C0202,Good video.
CM00733,C0202,I have been through the same thing.
CM00734,C0203,Good information.
CM00735,C0203,I can completely relate to this.
CM00736,C0203,You explained my situation perfectly.
CM00737,C0203,I have been through the same thing.
CM00738,C0204,I needed to hear this today.
CM00739,C0204,Good information.
CM00740,C0204,This describes exactly what I have been feeling.
CM00741,C0205,Thanks for the tips.
CM00742,C0205,This is literally me.
CM00743,C0205,I thought I was the only one who felt this way.
CM00744,C0205,Very useful advice.
CM00745,C0205,Nice explanation.
CM00746,C0206,This is literally me.
CM00747,C0206,Well explained.
CM00748,C0206,Nice explanation.
CM00749,C0206,I needed to hear this today.
CM00750,C0207,This is literally me.
CM00751,C0207,Very useful advice.
CM00752,C0207,Very useful advice.
CM00753,C0208,I can completely relate to this.
CM00754,C0208,Interesting perspective.
CM00755,C0208,This describes exactly what I have been feeling.
CM00756,C0208,This is literally me.
CM00757,C0208,Thanks for the tips.
CM00758,C0209,I thought I was the only one who felt this way.
CM00759,C0209,I have been through the same thing.
CM00760,C0209,Finally someone talked about this.
CM00761,C0210,Good information.
CM00762,C0210,I can completely relate to this.
CM00763,C0210,Interesting post.
CM00764,C0210,This describes exactly what I have been feeling.
CM00765,C0211,Good video.
CM00766,C0211,Thanks for the tips.
CM00767,C0211,Good information.
CM00768,C0211,Good video.
CM00769,C0212,This is literally me.
CM00770,C0212,Thanks for the tips.
CM00771,C0212,Well explained.
CM00772,C0213,I can completely relate to this.
CM00773,C0213,Good video.
CM00774,C0213,Nice explanation.
CM00775,C0213,Interesting perspective.
CM00776,C0213,Well explained.
CM00777,C0214,I can completely relate to this.
CM00778,C0214,I needed to hear this today.
CM00779,C0214,I have been through the same thing.
CM00780,C0215,Well explained.
CM00781,C0215,I can completely relate to this.
CM00782,C0216,Good video.
CM00783,C0216,Very useful advice.
